Date,Site.Name,COUNTY,SITE_LONGITUDE,SITE_LATITUDE,Year,Month,PM2.5,Ozone
1-06-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,6,13,NA
1-06-20,Clemmons Middle,Forsyth,-80.342,36.026,1,6,25,NA
1-06-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,6,29.333333333333332,NA
1-06-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,6,NA,40
1-06-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,6,32.25,30.5
1-06-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,6,15.666666666666666,NA
1-06-20,Leggett,Edgecombe,-77.5843,35.988278,1,6,7,NA
1-06-20,Linville Falls,Avery,-81.933072,35.972347,1,6,4,NA
1-06-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,6,18,NA
1-06-20,Millbrook School,Wake,-78.574167,35.856111,1,6,27.75,32
1-06-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,6,15.666666666666666,NA
1-06-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,6,28.5,33
1-07-20,Bryson City,Swain,-83.442133,35.434767,1,7,45,NA
1-07-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,7,11,NA
1-07-20,Clemmons Middle,Forsyth,-80.342,36.026,1,7,40.5,NA
1-07-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,7,41,NA
1-07-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,7,NA,37
1-07-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,7,39,29
1-07-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,7,26,NA
1-07-20,Leggett,Edgecombe,-77.5843,35.988278,1,7,12.5,NA
1-07-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,1,7,30,NA
1-07-20,Millbrook School,Wake,-78.574167,35.856111,1,7,42,31.5
1-07-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,1,7,17,NA
1-07-20,West Johnston Co.,Johnston,-78.4622,35.59095,1,7,25,30
1-08-20,,Hyde,-76.2071654064174,35.4510904272765,1,8,15,NA
1-08-20,Bryson City,Swain,-83.442133,35.434767,1,8,52,NA
1-08-20,Castle Hayne,New Hanover,-77.838611,34.364167,1,8,9.5,NA
1-08-20,Clemmons Middle,Forsyth,-80.342,36.026,1,8,51.5,NA
1-08-20,Durham Armory,Durham,-78.904037,36.0329550008979,1,8,37.333333333333336,NA
1-08-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,1,8,3,42
1-08-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,1,8,42,24
1-08-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,1,8,41.25,NA
1-08-20,Leggett,Edgecombe,-77.5843,35.988278,1,8,30.5,NA
